,count,unique,top,freq,first,last,mean,std,min,25%,50%,75%,max
F_Bout_URL,5123,5123,http://www.fightmetric.com/fight-details/144c4e65599288c3,1,,,,,,,,,
T_Bout_URL,5123,5123,https://www.tapology.com/fightcenter/bouts/23650-wec-51-mike-brown-vs-cole-province,1,,,,,,,,,
Event_Date,5123,479,2016-11-19 00:00:00,25,2008-01-19 00:00:00,2018-12-29 00:00:00,,,,,,,
FO,5092,3,Fighter_1,3373,,,,,,,,,
F1_URL,5123,1422,http://www.fightmetric.com/fighter-details/1d00756835ca67c9,28,,,,,,,,,
F1_T_ID,5123,1422,donald-cerrone-cowboy,28,,,,,,,,,
F1_BFO_URL,4644,1157,https://www.bestfightodds.com/fighters/Donald-Cerrone-220,28,,,,,,,,,
F2_URL,5123,1883,http://www.fightmetric.com/fighter-details/18968f97ad34f15c,18,,,,,,,,,
F2_T_ID,5123,1883,jeremy-stephens-lil-heathen,18,,,,,,,,,
F2_BFO_URL,4477,1438,https://www.bestfightodds.com/fighters/Jeremy-Stephens-210,18,,,,,,,,,
F1_DOB,5017,1211,1984-07-31 00:00:00,33,1961-12-13 00:00:00,1998-05-18 00:00:00,,,,,,,
FM_F1_5yr_T_SStr_L_pM_VS,4244.0,,,,,,2.864048468558816,1.789161488126368,0.0,1.8996736785686554,2.6215203196150876,3.4603793291614897,44.99999999999986
FM_F1_5yr_T_Str_A_pM,4244.0,,,,,,9.854187599755827,4.284698830161172,0.0,7.3513196506595015,9.251299163786964,11.608084300259652,81.42857142857171
FM_F1_5yr_T_Str_L_pM,4244.0,,,,,,5.340614819887782,2.9483466797153692,0.0,3.8092180167857275,4.86233688884076,6.170801545528023,60.0
FM_F1_5yr_T_Str_A_pM_VS,4244.0,,,,,,8.948145511876724,3.595481642646758,0.0,6.777559559388608,8.588787106010782,10.561990025836689,59.999999999999815
FM_F1_5yr_T_Str_L_pM_VS,4244.0,,,,,,4.563165399493831,2.288139225312795,0.0,3.2956951321626256,4.252235067076782,5.4176528569603235,44.99999999999986
FM_F1_5yr_T_TD_A_pM,4244.0,,,,,,0.2926726889089117,0.25575293658619663,0.0,0.10218083684622396,0.24634335725265313,0.4248200741298992,2.727272727272728
FM_F1_5yr_T_TD_L_pM,4244.0,,,,,,0.12745839453792385,0.13588392400684837,0.0,0.0337624816644811,0.1,0.18456043410900042,2.2222222222222223
FM_F1_5yr_T_TD_A_pM_VS,4244.0,,,,,,0.28760125024169503,0.24621070951642274,0.0,0.12878991454697614,0.25024331143602885,0.39188249926836405,3.75
FM_F1_5yr_T_TD_L_pM_VS,4244.0,,,,,,0.10580180747437501,0.12233650297403538,0.0,0.030380392678261942,0.07767493074165505,0.14572205160217871,2.2222222222222223
FM_F1_5yr_T_SStr_PCT_OQA,3122.0,,,,,,0.26127391585933984,0.0714417204124811,0.03085106382978725,0.21606910571048923,0.2574524352364188,0.2998582123411978,1.0
FM_F1_5yr_T_TD_PCT_OQA,1120.0,,,,,,0.36360005169436616,0.16228455378949821,0.01999999999999999,0.25,0.34661764705882353,0.4470893131059852,1.0
FM_F2_5yr_T_num_bouts,4883.0,,,,,,3.3086217489248413,3.422517042388905,0.0,1.0,2.0,5.0,18.0
FM_F2_5yr_T_SStr_A,4883.0,,,,,,258.4257628507065,333.4018111606127,0.0,0.0,133.0,385.0,2649.0
FM_F2_5yr_T_SStr_L,4883.0,,,,,,110.65144378455868,141.46390280299744,0.0,0.0,58.0,167.0,1267.0
