F1_ID,Match_ID,Exact_ID,Close_ID,No_Match_DF1,No_Match_DF2,Name_Match,Dates_Match,F2_Match
carlos-ferreira,Carlos-Diego-Ferreira-4165,,"Carlo Prater Legacy Fighting Championship 20: Prater vs. Ferreira 2013-05-31
",,,1.0,1,1.0
seth-dikun-2-quik,Seth-Dikun-1013,,"Charlie Valencia WEC 38: Varner vs Cerrone 2009-01-25
",,,1.0,1,1.0
russell-doane,Russell-Doane-583,,"Tyson Nam Icon Sport: To Hell And Back 2008-03-15
",,,1.0,1,1.0
90374-shana-dobson,Shana-Dobson-7782,,"Ariel Beck UFC: The Ultimate Fighter 26 Finale 2017-12-01
",,,1.0,1,1.0
cody-donovan,Cody-Donovan-1684,,"Eric Smith Ring Of Fire 36 2009-12-04
",,,1.0,1,1.0
geronimo-dos-santos-mondragon,Geronimo-Dos-Santos-1850,,"Josh Barnett Impact FC 1: The Uprising 2010-07-10
",,,0.97,1,1.0
damion-douglas,Damian-Douglas-2382,,"Wayne Philliips Strikeforce Challengers 15: Wilcox vs. Damm 2011-04-01
",,,0.93,1,0.97
david-douglas-tarzan,David-Douglas-864,"Nick Gonzalez Strikeforce Challengers 14 2011-02-18
","Nick Gonzalez Strikeforce Challengers 14 2011-02-18
Malaipet Sasiprapa ShoXC: Elite Challenger Series 2008-09-26
",,"Dominic Clark Strikeforce Challengers 11 2010-10-22
",1.0,1,0.9
derek-downey-the-gentleman,Derek-Downey-1062,,"Nick Catone UFC Fight Night 17: Lauzon vs Stephens 2009-02-07
",,,1.0,1,1.0
robert-drysdale,Robert-Drysdale-3364,,"Isaac Villanueva Legacy Fighting Championship 12 2012-07-13
",,,1.0,1,0.94
antonio-duarte-tigre,Antonio-Duarte-833,,"Albert Rios Affliction 2: Day Of Reckoning 2009-01-24
",,,1.0,1,1.0
todd-duffee,Todd-Duffee-1131,,"Tim Hague UFC 102: Couture vs Nogueira 2009-08-29
",,,1.0,1,0.99
14601-Joseph-Duffy,Joseph-Duffey-5458,,"Jake Lindsey UFC 185: Pettis vs. dos Anjos 2015-03-14
",,,0.96,1,1.0
54500-alexis-dufresne,Alexis-Dufresne-4910,,"Sarah Moras UFC: The Ultimate Fighter 19 Finale 2014-07-06
",,,1.0,1,1.0
22463-jessamyn-duke-the-gun,Jessamyn-Duke-3355,"Suzie Montero Invicta FC 2 2012-07-28
","Marciea Allen Invicta FC 3: Penne vs. Sugiyama 2012-10-06
",,,1.0,1,1.0
evan-dunham-the-kid,Evan-Dunham-704,"Nik Lentz UFC on FOX 2 2012-01-28
","Nik Lentz UFC on FOX 2 2012-01-28
Dustin Akbari PFC 12: High Stakes 2009-01-22
",,,1.0,1,0.98
