F1_ID,Match_ID,Exact_ID,Close_ID,No_Match_DF1,No_Match_DF2,Name_Match,Dates_Match,F2_Match
91acd6910b802a9e,Chris-Lytle-52," Paul Taylor UFC 89: Bisping vs Leben 2008-10-18
 Kyle Bradley UFC 81: Breaking Point 2008-02-02
"," Matt Brown UFC 116: Lesnar vs. Carwin 2010-07-03
 Kevin Burns UFC: The Ultimate Fighter 9 Finale 2009-06-20
"," Brian Foster UFC 110: Nogueira vs Velasquez 2010-02-20
"," Dan Hardy UFC On Versus 5: Hardy vs. Lytle 2011-08-14
 Brian Ebersole UFC 127: Penn vs. Fitch 2011-02-26
 Matt Serra UFC 119: Mir vs. Cro Cop 2010-09-25
 Brian Foster UFC 110: Nogueira vs. Velasquez 2010-02-21
 Marcus Davis UFC 93: Franklin vs Henderson 2009-01-17
 Josh Koscheck UFC 86: Jackson vs Griffin 2008-07-05
 Thiago Alves UFC 78: Validation 2007-11-17
 Jason Gilliam UFC 73: Stacked 2007-07-07
",1.0,1,1.0
4798e823ada58fe9,Veronica-Macedo-6622,," Andrea Lee UFC Fight Night 129: Maia vs. Usman 2018-05-19
",," Ashlee Evans-Smith UFC Fight Night 93: Arlovski vs. Barnett 2016-09-03
",1.0,1,1.0
f7a7f7118d4b01b6,Lyoto-Machida-161," Rashad Evans UFC 98: Evans vs Machida 2009-05-23
 Thiago Silva UFC 94: St-Pierre vs Penn 2 2009-01-31
 Tito Ortiz UFC 84: Ill Will 2008-05-24
"," Eryk Anders UFC Fight Night 125: Machida vs. Anders 2018-02-03
 Yoel Romero UFC Fight Night 70: Machida vs. Romero 2015-06-27
 Luke Rockhold UFC on FOX 15: Machida vs. Rockhold 2015-04-18
 C.B. Dollaway UFC Fight Night 58: Machida vs. Dollaway 2014-12-20
 Gegard Mousasi UFC Fight Night 36: Machida vs. Mousasi 2014-02-15
 Mark Munoz UFC Fight Night 30: Machida vs. Munoz 2013-10-26
 Phil Davis UFC 163: Aldo vs. Jung 2013-08-03
 Dan Henderson UFC 157: Rousey vs. Carmouche 2013-02-23
 Ryan Bader UFC on FOX 4: Shogun vs. Vera 2012-08-04
 Randy Couture UFC 129: St-Pierre vs. Shields 2011-04-30
 Mauricio Rua UFC 113: Machida vs. Shogun II 2010-05-08
 Mauricio Rua UFC 104: Machida vs Rua 2009-10-24
",," Rafael Carvalho Bellator 213: Macfarlane vs. Letourneau 2018-12-15
 Vitor Belfort UFC 224: Nunes vs. Pennington 2018-05-12
 Derek Brunson UFC Fight Night 119: Machida vs. Brunson 2017-10-28
 Chris Weidman UFC 175: Weidman vs. Machida 2014-07-05
 Jon Jones UFC 140: Jones vs. Machida 2011-12-10
 Quinton Jackson UFC 123: Rampage vs. Machida 2010-11-20
 Rameau Sokoudjou UFC 79: Nemesis 2007-12-29
 Kazuhiro Nakamura UFC 76: Knockout 2007-09-22
",1.0,1,0.99
e25bcbcdaf6537a1,Reza-Madadi-2131,," Joaquim Silva UFC Fight Night 109: Gustafsson vs. Teixeira 2017-05-28
 Michael Johnson UFC on Fuel TV 9: Mousasi vs. Latifi 2013-04-06
 Yoislandy Izquierdo UFC on FUEL TV 2: Gustafsson vs. Silva 2012-04-14
",," Joseph Duffy UFC Fight Night 107: Manuwa vs. Anderson 2017-03-18
 Yan Cabral UFC Fight Night 87: Overeem vs. Arlovski 2016-05-08
 Norman Parke UFC Fight Night 76: Holohan vs. Smolka 2015-10-24
 Cristiano Marcello UFC 153: Silva vs. Bonnar 2012-10-13
 Rich Clementi Superior Challenge 7: Rise of Champions 2011-04-30
 Carlo Prater Superior Challenge 6: Lion's Den 2010-10-29
",1.0,1,1.0
7691a80e6ca3e55b,Jon-Madsen-1676," Mostapha Al-Turk UFC 112: Invincible 2010-04-10
"," Mike Russow UFC Fight Night 24: Nogueira vs. Davis 2011-03-26
 Gilbert Yvel UFC 121: Lesnar vs. Velasquez 2010-10-23
 Karlos Vemola UFC 116: Lesnar vs. Carwin 2010-07-03
 Justin Wren UFC: The Ultimate Fighter 10 Finale 2009-12-05
",," Chase Gormley Titan FC 33: Green vs. Holobaugh 2015-03-20
",1.0,1,1.0
a4bf17bd3ba3423b,Yoshiro-Maeda-470," Kenji Osawa DREAM 14 2010-05-29
 Chase Beebe DREAM 12 2009-10-25
"," Hideo Tokoro DREAM: Fight for Japan 2011-05-29
 Micah Miller DREAM 7 2009-03-08
 Charlie Valencia WEC 32 2008-02-13
",," Bibiano Fernandes DREAM 18 2012-12-31
 Masanori Kanehara WVR Sengoku: Soul of Fight 2010-12-30
 Cole Escovedo DREAM 13 2010-03-22
 Hiroyuki Takaya DREAM 9 2009-05-26
 Rani Yahya WEC 36: Faber vs Brown 2008-11-05
 Miguel Torres WEC 34: Faber vs Pulver 2008-06-01
",1.0,1,1.0
8bbc0cfc01bc1ba1,Leonardo-Mafra-5011,," Cain Carrizosa UFC Fight Night 62: Maia vs. LaFlare 2015-03-21
",," Stevie Ray UFC Fight Night 72: Bisping vs. Leites 2015-07-18
 Rick Story UFC Fight Night 45: Cerrone vs. Miller 2014-07-16
",1.0,1,1.0
0c5c66ddd1886b83,Caio-Magalhaes-3081,," Trevor Smith UFC Fight Night 56: Shogun vs. St. Preux 2014-11-08
 Luke Zachrich UFC on FOX 11: Werdum vs. Browne 2014-04-19
 Karlos Vemola UFC on FUEL TV 10: Nogueira vs. Werdum 2 2013-06-08
",," Sadibou Sy PFL 7: Rama vs. Abdallah 2018-08-30
 Brad Tavares UFC 203: Miocic vs. Overeem 2016-09-10
 Josh Samman UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson 2015-07-12
 Nick Ring UFC Fight Night 33: Hunt vs. Bigfoot 2013-12-06
 Buddy Roberts UFC on FX 3: Johnson vs. McCall 2012-06-08
",1.0,1,1.0
1b583c64c23f0c7f,Vinicius-Magalhaes-986,," Rocky Long Strikeforce: Houston 2010-08-21
",,,1.0,1,1.0
88a9bc81271ccd89,Vinny-Magalhaes-4185,," Anthony Perosh UFC 163: Aldo vs. Jung 2013-08-03
",," Sean O'Connell PFL 11: The Championship 2018-12-31
 Rakim Cleveland PFL 9: Playoffs 2018-10-13
 Brandon Halsey PFL 5: High vs. Schulte 2018-08-02
 Jamie Abdallah PFL 2: Firmino vs. Brooks 2018-06-21
 Karol Celinski ACB 63: Celinski vs Magalhaes 2017-07-01
 David Branch WSOF 33 2016-10-07
 Jake Heun WSOF 30: Branch vs. Starks 2016-04-02
 Matt Hamill WSOF 24: Fitch vs. Okami 2015-10-17
 Jason Brilz Titan FC 30: Magalhaes vs. Brilz 2014-09-26
 Phil Davis UFC 159: Jones vs. Sonnen 2013-04-27
 Igor Pokrajac UFC 152: Jones vs. Belfort 2012-09-22
 Mikhail Zayats M-1 Challenge 27: Garner vs. Grishin 2011-10-14
 Victor Nemkov M-1 Challenge XXV: Zavurov vs. Magomedov II 2011-04-28
 Mike Nickels Ring Of Fire 36 2009-12-04
 Eliot Marshall UFC 97: Redemption 2009-04-18
 Ryan Bader UFC: The Ultimate Fighter 8 Finale 2008-12-13
",1.0,1,1.0
