,Event_Date,Event_Name,Event_ID,F1_Name,F2_Name,F1_ID,F2_ID
0,2015-06-26,Bellator 139: Kongo vs. Volkov,bellator-139-kongo-vs-volkov-966,Aaron Ely,Jeimeson Saudino,Aaron-Ely-2863,Jeimeson-Saudino-3000
1,2011-10-29,Bellator Fighting Championship 56,bellator-fighting-championship-56-466,Aaron Ely,Owen Evinger,Aaron-Ely-2863,Owen-Evinger-2161
2,2011-09-10,Shark Fights 19,shark-fights-19-439,Aaron Ely,Josh Phillips,Aaron-Ely-2863,Josh-Phillips-2864
3,2011-06-25,Shark Fights 16: Neer vs. Juarez,shark-fights-16-neer-vs-juarez-412,Aaron Lee,Jarrett Jones,Aaron-Lee-2620,Jarrett-Jones-2621
4,2016-08-19,RFA 42: Giagos vs. Estrazulas,rfa-42-giagos-vs-estrazulas-1156,Tom Aaron,Adin Duenas,Tom-Aaron-1814,Adin-Duenas-6013
5,2010-05-15,Strikeforce St. Louis: Heavy Artillery,strikeforce-st-louis-heavy-artillery-261,Tom Aaron,Erik Steenberg,Tom-Aaron-1814,Erik-Steenberg-1812
6,2010-09-02,Bellator Fighting Championships 27,bellator-fighting-championships-27-314,Aaron Barringer,Gilbert Jimenez,Aaron-Barringer-2080,Gilbert-Jimenez-2081
7,2018-11-16,Bellator 209: Freire vs. Sanchez,bellator-209-freire-vs-sanchez-1577,Aaron Becker,Khonry Gracie,Aaron-Becker-8748,Khonry-Gracie-7796
8,2014-06-07,Cage Warriors 69: Super Saturday,cage-warriors-69-super-saturday-838,Aaron Blackwell,Adam Ventre,Aaron-Blackwell-4942,Adam-Ventre-4943
9,2013-08-23,Legacy Fighting Championship 22,legacy-fighting-championship-22-715,Aaron Cerda,George Pacurariu,Aaron-Cerda-4329,George-Pacurariu-4019
10,2018-05-25,Bellator 200,bellator-200-1469,Aaron Chalmers,Ash Griffiths,Aaron-Chalmers-7802,Ash-Griffiths-7763
11,2017-12-15,Bellator 191: McDonald vs. Ligier,bellator-191-mcdonald-vs-ligier-1395,Aaron Chalmers,Karl Donaldson,Aaron-Chalmers-7802,Karl-Donaldson-7804
12,2016-12-02,Legacy FC 63: Harris vs. Cobb,legacy-fc-63-harris-vs-cobb-1206,Aaron Cobb,Gerald Harris,Aaron-Cobb-6740,Gerald-Harris-1560
13,2015-03-20,Legacy FC 40: East vs. Ritani-Coe,legacy-fc-40-east-vs-ritani-coe-928,Aaron Conway,Doug Usher,Aaron-Conway-5431,Doug-Usher-5432
14,2012-12-14,Legacy Fighting Championship 16,legacy-fighting-championship-16-596,Aaron Culpepper,Russell Brewer,Aaron-Culpepper-3572,Russell-Brewer-2637
15,2017-11-03,LFA 26: Odoms vs. Hughes,lfa-26-odoms-vs-hughes-1385,Aaron Davis,Jon Harris,Aaron-Davis-2120,Jon-Harris-3080
16,2016-03-25,Legacy FC 52: Schnell vs. Mai,legacy-fc-52-schnell-vs-mai-1076,Aaron Davis,Ryan Spann,Aaron-Davis-2120,Ryan-Spann-3502
17,2015-11-13,Legacy FC 48: Leite vs. Spann,legacy-fc-48-leite-vs-spann-1024,Aaron Davis,Edgar Verdin,Aaron-Davis-2120,Edgar-Verdin-3496
18,2010-09-30,Bellator Fighting Championship 31,bellator-fighting-championship-31-328,Aaron Davis,Tim Ruberg,Aaron-Davis-2120,Tim-Ruberg-2121
19,2017-01-27,Bellator 171: Guillard vs. Njokuani,bellator-171-guillard-vs-njokuani-1224,Aaron Derrow,David Rickels,Aaron-Derrow-1575,David-Rickels-2951
20,2014-10-24,Bellator 130: Newton vs. Vassell,bellator-130-newton-vs-vassell-890,Aaron Derrow,Nate Jolly,Aaron-Derrow-1575,Nate-Jolly-2782
21,2011-03-25,Titan Fighting Championship 17,titan-fighting-championship-17-365,Aaron Derrow,Alonzo Martinez,Aaron-Derrow-1575,Alonzo-Martinez-377
22,2011-01-28,Titan Fighting Championship 16: Sylvia vs. Wagner,titan-fighting-championship-16-sylvia-vs-wagner-355,Aaron Derrow,Rich Clementi,Aaron-Derrow-1575,Rich-Clementi-275
23,2009-10-02,CSC Fight Night I,csc-fight-night-i-215,Aaron Derrow,Drew Dober,Aaron-Derrow-1575,Drew-Dober-1576
24,2014-05-09,MFC 40: Crowned Kings,mfc-40-crowned-kings-821,Aaron Gallant,Marcus Edwards,Aaron-Gallant-4404,Marcus-Edwards-4876
25,2013-10-04,MFC 38: Behind Enemy Lines,mfc-38-behind-enemy-lines-714,Aaron Gallant,Matt Jelly,Aaron-Gallant-4404,Matt-Jelly-3120
26,2011-03-11,Shark Fights 14: Horwich vs. Villefort,shark-fights-14-horwich-vs-villefort-372,Aaron Garcia,Ben Medina,Aaron-Garcia-2346,Ben-Medina-2347
27,2016-11-19,Bellator 165: Chandler vs. Henderson,bellator-165-chandler-vs-henderson-1202,Aaron Hamilton,Kevin Ferguson Jr.,Aaron-Hamilton-6824,Kevin-Ferguson-Jr-6592
28,2015-10-30,CES MMA 31,ces-mma-31-1036,Aaron Johnson,Eric Spicely,Aaron-Johnson-3886,Eric-Spicely-5689
29,2013-02-14,Bellator Fighting Championship 89: Dantas vs. Galvao,bellator-fighting-championship-89-dantas-vs-galvao-643,Aaron Johnson,Brennan Ward,Aaron-Johnson-3886,Brennan-Ward-3714
30,2018-12-08,Cage Warriors 100: Shore vs. Ekundayo,cage-warriors-100-shore-vs-ekundayo-1605,Aaron Khalid,Hakon Foss,Aaron-Khalid-6757,Hakon-Foss-4588
31,2018-09-29,Cage Warriors 97: Shore vs. Maia,cage-warriors-97-shore-vs-maia-1569,Aaron Khalid,Jamie Richardson,Aaron-Khalid-6757,Jamie-Richardson-7290
32,2018-03-03,Cage Warriors 91: Reed vs. Bouland,cage-warriors-91-reed-vs-bouland-1437,Aaron Khalid,Ross Houston,Aaron-Khalid-6757,Ross-Houston-6495
33,2017-10-14,Cage Warriors 87: Long vs. Soldic,cage-warriors-87-long-vs-soldic-1347,Aaron Khalid,Ross Houston,Aaron-Khalid-6757,Ross-Houston-6495
34,2016-10-15,Cage Warriors 79: Clist vs. Svensson,cage-warriors-79-clist-vs-svensson-1189,Aaron Khalid,Adam Procter,Aaron-Khalid-6757,Adam-Procter-6759
35,2018-07-21,Cage Warriors 95,cage-warriors-95-1527,Aaron Laleye,Adam Amarasinghe,Aaron-Laleye-8442,Adam-Amarasinghe-8443
36,2011-02-18,Strikeforce Challengers 14,strikeforce-challengers-14-359,Aaron Lan Franco,Ousmane Thomas Diagne,Aaron-Lan-Franco-2311,Ousmane-Thomas-Diagne-1266
37,2017-03-04,Cage Warriors 81: Moore vs. Clark,cage-warriors-81-moore-vs-clark-1250,Aaron Maguire,Hughie O'Rourke,Aaron-Maguire-7006,Hughie-O-Rourke-7008
