,Event_Date,Event_Name,Event_ID,F1_Name,F2_Name,F1_ID,F2_ID
4506,2012-12-31,DREAM 18,6b7bc7eaf2465387,Shinya Aoki,Antonio McKee,79ded75550efc139,3414b50b08a10600
4507,2018-06-01,UFC Fight Night: Rivera vs. Moraes,d29b5c4f22c6357d,Sijara Eubanks,Lauren Murphy,4234f0097c83fa62,729d4bd5a6cd0a97
4508,2018-11-03,UFC 230: Cormier vs. Lewis,20821819c401ced8,Sijara Eubanks,Roxanne Modafferi,4234f0097c83fa62,4498b382c65a7faa
4509,2012-04-14,UFC on FUEL TV: Gustafsson vs Silva,21f2974fd08085e3,Simeon Thoresen,Besam Yousef,fea8acf9bfcf09ec,98ec9f385cca47fc
4510,2013-01-26,UFC on Fox: Johnson vs Dodson,738acab0c6934dd8,Simeon Thoresen,David Mitchell,fea8acf9bfcf09ec,8f3df4c579cfbb69
4511,2017-09-02,UFC Fight Night: Volkov vs. Struve,a3244e3238541482,Siyar Bahadurzada,Rob Wilkinson,aec185309b4843d0,826475cc758e60e6
4512,2018-04-21,UFC Fight Night: Barboza vs. Lee,ad99fa5325519169,Siyar Bahadurzada,Luan Chagas,aec185309b4843d0,9ccf8371fd80d45d
4513,2013-08-31,UFC 164: Henderson vs Pettis 2,980b4e712489098e,Soa Palelei,Nikita Krylov,60029bcf496bd707,1091d4d957141094
4514,2014-05-10,UFC Fight Night: Brown vs Silva,579fcdfcabd23a7b,Soa Palelei,Ruan Potts,60029bcf496bd707,7e208569469c8bc8
4515,2014-06-28,UFC Fight Night: Te Huna vs Marquardt,ac9521250dc1a14c,Soa Palelei,Jared Rosholt,60029bcf496bd707,91ea901c458e95dd
4516,2014-11-07,UFC Fight Night: Rockhold vs Bisping,371a1c91b24dec2b,Soa Palelei,Walt Harris,60029bcf496bd707,03f982ca3735070c
4517,2017-11-25,UFC Fight Night: Bisping vs. Gastelum,e7bc606d269896aa,Song Kenan,Bobby Nash,32490e80ddab1e5a,7dfb56f24fe5ddea
4518,2018-06-23,UFC Fight Night: Cowboy vs. Edwards,ac5f67109accb482,Song Kenan,Hector Aldana,32490e80ddab1e5a,c487223b0289bda9
4519,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,de25520d54eab12d,Song Kenan,Alex Morono,32490e80ddab1e5a,cdb96af67d096b1e
4520,2017-11-25,UFC Fight Night: Bisping vs. Gastelum,e7bc606d269896aa,Song Yadong,Bharat Kandare,efb96bf3e9ada36f,efd2b3e9bb7965a4
4521,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,de25520d54eab12d,Song Yadong,Vince Morales,efb96bf3e9ada36f,37098a6e6c27fb66
